Study ID,Patient ID,Sample ID,NSD1: mRNA expression z-scores relative to all samples (log microarray)
brca_metabric,MB-0531,MB-0531,0.828
brca_metabric,MB-0532,MB-0532,-0.4762
brca_metabric,MB-0534,MB-0534,-1.2365
brca_metabric,MB-0535,MB-0535,0.6743
brca_metabric,MB-0536,MB-0536,1.2198
brca_metabric,MB-0537,MB-0537,-0.6585
brca_metabric,MB-0538,MB-0538,0.4886
brca_metabric,MB-0539,MB-0539,-1.6234
brca_metabric,MB-0540,MB-0540,3.1406
brca_metabric,MB-0541,MB-0541,-0.242
brca_metabric,MB-0542,MB-0542,-0.8935
brca_metabric,MB-0543,MB-0543,-0.9358
brca_metabric,MB-0544,MB-0544,-1.2049
brca_metabric,MB-0545,MB-0545,-1.3584
brca_metabric,MB-0546,MB-0546,0.1916
brca_metabric,MB-0547,MB-0547,NA
brca_metabric,MB-0549,MB-0549,-0.9534
brca_metabric,MB-0550,MB-0550,-0.9427
brca_metabric,MB-0551,MB-0551,-0.4017
brca_metabric,MB-0552,MB-0552,-1.4498
brca_metabric,MB-0553,MB-0553,-2.4561
brca_metabric,MB-0554,MB-0554,-0.5948
brca_metabric,MB-0558,MB-0558,-0.6405
brca_metabric,MB-0559,MB-0559,-0.5018
brca_metabric,MB-0564,MB-0564,-1.3891
brca_metabric,MB-0568,MB-0568,-0.6704
brca_metabric,MB-0569,MB-0569,-0.2771
brca_metabric,MB-0570,MB-0570,-0.4175
brca_metabric,MB-0571,MB-0571,-1.1494
brca_metabric,MB-0573,MB-0573,-0.4367
brca_metabric,MB-0574,MB-0574,1.5661
brca_metabric,MB-0575,MB-0575,-0.8154
brca_metabric,MB-0576,MB-0576,-0.1717
brca_metabric,MB-0577,MB-0577,-0.3624
brca_metabric,MB-0578,MB-0578,-0.5534
brca_metabric,MB-0579,MB-0579,-0.0388
brca_metabric,MB-0580,MB-0580,-0.2261
brca_metabric,MB-0581,MB-0581,-1.2093
brca_metabric,MB-0582,MB-0582,-0.5763
brca_metabric,MB-0583,MB-0583,0.0998
brca_metabric,MB-0584,MB-0584,-0.7098
brca_metabric,MB-0585,MB-0585,-0.7163
brca_metabric,MB-0586,MB-0586,-0.4844
brca_metabric,MB-0587,MB-0587,-0.6681
brca_metabric,MB-0588,MB-0588,-1.1922
brca_metabric,MB-0589,MB-0589,-1.2972
brca_metabric,MB-0590,MB-0590,0.0835
brca_metabric,MB-0591,MB-0591,-0.4407
brca_metabric,MB-0592,MB-0592,0.137
brca_metabric,MB-0593,MB-0593,-1.3892
brca_metabric,MB-0594,MB-0594,1.0415
brca_metabric,MB-0596,MB-0596,-1.0542
brca_metabric,MB-0597,MB-0597,-0.8747
