sample,NSD1
TCGA-PL-A8LV-01,11.26
TCGA-BH-A0BZ-11,11.25
TCGA-BH-A0DK-11,11.25
TCGA-E9-A1RI-11,11.25
TCGA-AR-A1AT-01,11.25
TCGA-A8-A085-01,11.25
TCGA-B6-A0WY-01,11.25
TCGA-AR-A2LL-01,11.25
TCGA-B6-A402-01,11.25
TCGA-BH-A0HU-01,11.24
TCGA-C8-A12M-01,11.24
TCGA-E2-A107-01,11.24
TCGA-E2-A15K-01,11.24
TCGA-BH-A0DQ-01,11.24
TCGA-BH-A1ET-01,11.24
TCGA-AR-A24V-01,11.24
TCGA-BH-A1EX-01,11.24
TCGA-BH-A8FY-01,11.24
TCGA-BH-A1F6-11,11.23
TCGA-AN-A04D-01,11.23
TCGA-E2-A14Y-01,11.23
TCGA-A2-A0EM-01,11.23
TCGA-A2-A0SU-01,11.23
TCGA-A8-A0A6-01,11.23
TCGA-AR-A1AK-01,11.23
TCGA-A7-A13H-01,11.23
TCGA-C8-A137-01,11.22
TCGA-A2-A0D4-01,11.22
TCGA-AO-A0J7-01,11.22
TCGA-AR-A0TV-01,11.22
TCGA-A2-A0CU-01,11.22
TCGA-AN-A0XP-01,11.22
TCGA-BH-A0EA-01,11.22
TCGA-AO-A1KT-01,11.22
TCGA-C8-A1HO-01,11.22
TCGA-C8-A26V-01,11.22
TCGA-D8-A1XC-01,11.22
TCGA-E2-A1IE-01,11.22
TCGA-E9-A247-01,11.22
TCGA-BH-A1FB-11,11.21
TCGA-E2-A1LS-11,11.21
TCGA-E9-A1N9-11,11.21
TCGA-E9-A1NA-11,11.21
TCGA-A8-A06X-01,11.21
TCGA-BH-A0EI-01,11.21
TCGA-A2-A1FX-01,11.21
TCGA-A7-A6VX-01,11.21
TCGA-E9-A295-01,11.21
TCGA-EW-A1IY-01,11.21
TCGA-EW-A1P6-01,11.21
TCGA-BH-A0B8-11,11.2
TCGA-A8-A06U-01,11.2
TCGA-AO-A12E-01,11.2
TCGA-AR-A1AN-01,11.2
TCGA-B6-A0RQ-01,11.2
TCGA-BH-A0EB-01,11.2
TCGA-A2-A259-01,11.2
TCGA-AC-A7VB-01,11.2
TCGA-AO-A0J5-01,11.2
TCGA-AR-A24Q-01,11.2
TCGA-D8-A1X7-01,11.2
TCGA-D8-A1XR-01,11.2
TCGA-D8-A4Z1-01,11.2
TCGA-E9-A1R2-01,11.2
TCGA-E2-A108-01,11.19
TCGA-A1-A0SM-01,11.19
TCGA-A8-A082-01,11.19
TCGA-AO-A0JC-01,11.19
TCGA-A2-A0T0-01,11.19
TCGA-BH-A18K-01,11.19
TCGA-A2-A0ES-01,11.19
TCGA-A8-A06P-01,11.19
TCGA-BH-A0H5-01,11.19
TCGA-BH-A0HQ-01,11.19
TCGA-D8-A1XF-01,11.19
TCGA-E9-A1RE-01,11.19
TCGA-E9-A1RI-01,11.19
TCGA-OL-A5DA-01,11.19
TCGA-OL-A97C-01,11.19
TCGA-A7-A13E-11,11.18
TCGA-BH-A0BM-11,11.18
TCGA-E9-A1R7-11,11.18
TCGA-BH-A0BD-01,11.18
TCGA-E2-A15L-01,11.18
TCGA-BH-A0HO-01,11.18
TCGA-BH-A0W7-01,11.18
TCGA-BH-A1ES-01,11.18
TCGA-AC-A2FO-01,11.18
TCGA-AR-A24N-01,11.18
TCGA-E9-A1R0-01,11.18
TCGA-HN-A2OB-01,11.18
TCGA-LL-A5YO-01,11.18
TCGA-A7-A13F-11,11.17
TCGA-E2-A1L7-11,11.17
TCGA-E9-A1RF-11,11.17
TCGA-BH-A0E1-01,11.17
TCGA-AC-A2QI-01,11.17
TCGA-AQ-A1H2-01,11.17
TCGA-E9-A1NA-01,11.17
TCGA-LL-A7T0-01,11.17
TCGA-AN-A04A-01,11.16
TCGA-BH-A0HP-01,11.16
TCGA-B6-A3ZX-01,11.16
TCGA-D8-A1X6-01,11.16
TCGA-EW-A1PE-01,11.16
TCGA-EW-A2FV-01,11.16
TCGA-LD-A74U-01,11.16
TCGA-OL-A66I-01,11.16
TCGA-S3-AA11-01,11.16
TCGA-BH-A0DD-11,11.15
TCGA-AN-A0FV-01,11.15
